split,step,suite,horizon,episodes_per_task,seed,initial_state_start,task_id,task_description,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds
confirmation,1000,libero_10,20,10,27,30,0,put both the alphabet soup and the tomato sauce in the basket,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,15.0,291.8,301.8,0.05140507196710076,19.46140873015873,54.949957087822256
confirmation,1000,libero_10,20,10,27,30,1,put both the cream cheese box and the butter in the basket,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,14.5,281.7,291.7,0.05147319843805467,19.432367216117214,51.39058615667746
confirmation,1000,libero_10,20,10,27,30,2,turn on the stove and put the moka pot on it,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,13.6,262.0,272.0,0.051908396946564885,19.265311355311358,61.95992775233462
confirmation,1000,libero_10,20,10,27,30,3,put the black bowl in the bottom drawer of the cabinet and close it,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,12.2,237.3,247.3,0.05141171512852929,19.458333333333332,38.29399979971349
confirmation,1000,libero_10,20,10,27,30,4,put the white mug on the left plate and put the yellow and white mug on the right plate,20,50,10,6,0.6,0.31267376973365824,0.8318196702937638,18.2,359.9,369.9,0.050569602667407614,19.683150183150182,39.764633329212664
confirmation,1000,libero_10,20,10,27,30,5,pick up the book and place it in the back compartment of the caddy,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,14.6,283.8,293.8,0.05144467935165609,19.403441558441557,38.92624309668317
confirmation,1000,libero_10,20,10,27,30,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,20,50,10,7,0.7,0.39677814746114537,0.8922087325936989,18.6,364.0,374.0,0.0510989010989011,19.452891402714933,43.6528583213687
confirmation,1000,libero_10,20,10,27,30,7,put both the alphabet soup and the cream cheese box in the basket,20,50,10,7,0.7,0.39677814746114537,0.8922087325936989,17.9,352.3,362.3,0.05080896962815782,19.603273809523813,55.022191221266986
confirmation,1000,libero_10,20,10,27,30,8,put both moka pots on the stove,20,50,10,5,0.5,0.236593090512564,0.7634069094874361,24.4,483.1,493.1,0.05050714137859656,19.78723522853958,107.40121938828379
confirmation,1000,libero_10,20,10,27,30,9,put the yellow and white mug in the microwave and close it,20,50,10,4,0.4,0.16818032970623614,0.6873262302663417,21.5,426.2,436.2,0.050445800093852654,19.739349278172806,57.53392179301009
confirmation,1500,libero_10,20,10,27,30,0,put both the alphabet soup and the tomato sauce in the basket,20,50,10,8,0.8,0.49016247153664183,0.9433178485456247,18.3,357.1,367.1,0.051246149537944555,19.46140793159369,66.09166451757774
confirmation,1500,libero_10,20,10,27,30,1,put both the cream cheese box and the butter in the basket,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,14.3,275.3,285.3,0.05194333454413367,19.263250915750916,50.528726405650374
confirmation,1500,libero_10,20,10,27,30,2,turn on the stove and put the moka pot on it,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,14.0,271.1,281.1,0.0516414607156031,19.355970695970694,63.33722125189379
confirmation,1500,libero_10,20,10,27,30,3,put the black bowl in the bottom drawer of the cabinet and close it,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,14.3,279.9,289.9,0.051089674883887104,19.54102564102564,44.267587698902936
confirmation,1500,libero_10,20,10,27,30,4,put the white mug on the left plate and put the yellow and white mug on the right plate,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,13.9,273.0,283.0,0.050915750915750915,19.639981684981688,31.492083539068698
confirmation,1500,libero_10,20,10,27,30,5,pick up the book and place it in the back compartment of the caddy,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,11.2,212.2,222.2,0.0527803958529689,18.940249554367202,29.424603279028087
confirmation,1500,libero_10,20,10,27,30,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,14.8,287.0,297.0,0.05156794425087108,19.371108597285065,34.62188307996839
confirmation,1500,libero_10,20,10,27,30,7,put both the alphabet soup and the cream cheese box in the basket,20,50,10,8,0.8,0.49016247153664183,0.9433178485456247,17.1,331.4,341.4,0.0515992757996379,19.29999811463047,51.655372941307725
confirmation,1500,libero_10,20,10,27,30,8,put both moka pots on the stove,20,50,10,5,0.5,0.236593090512564,0.7634069094874361,24.5,486.5,496.5,0.050359712230215826,19.850592885375494,108.72921151267364
confirmation,1500,libero_10,20,10,27,30,9,put the yellow and white mug in the microwave and close it,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,14.8,282.8,292.8,0.05233380480905234,19.108669467787117,38.75494929272681
